cc, code, name
AF,004,Afghanistan
AO,024,Angola
BD,050,Bangladesh
BJ,204,Benin
BT,064,Bhutan
BF,854,Burkina Faso
BI,108,Burundi
KH,116,Cambodia
CF,140,Central African Republic
TD,148,Chad
KM,174,Comoros
CD,180,Congo, The Democratic Republic of the
DJ,262,Djibouti
GQ,226,Equatorial Guinea
ER,232,Eritrea
ET,231,Ethiopia
GM,270,Gambia
GN,324,Guinea
GW,624,Guinea-Bissau
HT,332,Haiti
KI,296,Kiribati
LA,418,Lao People's Democratic Republic
LS,426,Lesotho
LR,430,Liberia
MG,450,Madagascar
MW,454,Malawi
ML,466,Mali
MR,478,Mauritania
MZ,508,Mozambique
MM,104,Myanmar
NP,524,Nepal
NE,562,Niger
RW,646,Rwanda
WS,882,Samoa
ST,678,Sao Tome and Principe
SN,686,Senegal
SL,694,Sierra Leone
SB,090,Solomon Islands
SO,706,Somalia
SS,728,South Sudan
SD,729,Sudan
TL,626,Timor-Leste
TG,768,Togo
TV,798,Tuvalu
UG,800,Uganda
TZ,834,Tanzania, United Republic of
VU,548,Vanuatu
YE,887,Yemen
ZM,894,Zambia
