cc, code, name
AS,016,American Samoa
AI,660,Anguilla
AG,028,Antigua and Barbuda
AW,533,Aruba
BS,044,Bahamas
BB,052,Barbados
BZ,084,Belize
VG,092,Virgin Islands, British
CV,132,Cape Verde
KM,174,Comoros
CK,184,Cook Islands
CU,192,Cuba
DM,212,Dominica
DO,214,Dominican Republic
FJ,242,Fiji
PF,258,French Polynesia
GD,308,Grenada
GU,316,Guam
GW,624,Guinea-Bissau
GY,328,Guyana
HT,332,Haiti
JM,388,Jamaica
KI,296,Kiribati
MV,462,Maldives
MH,584,Marshall Islands
MU,480,Mauritius
FM,583,Micronesia, Federated States of
MS,500,Montserrat
NR,520,Nauru
NC,540,New Caledonia
NU,570,Niue
MP,580,Northern Mariana Islands
PW,585,Palau
PG,598,Papua New Guinea
PR,630,Puerto Rico
KN,659,Saint Kitts and Nevis
LC,662,Saint Lucia
WS,882,Samoa
ST,678,Sao Tome and Principe
SC,690,Seychelles
SG,702,Singapore
SB,090,Solomon Islands
VC,670,Saint Vincent and the Grenadines
SR,740,Suriname
TL,626,Timor-Leste
TO,776,Tonga
TT,780,Trinidad and Tobago
TV,798,Tuvalu
VI,850,Virgin Islands, U.S.
VU,548,Vanuatu
